City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Debre Birhan,ET,2021-01-20 01:16:35,9.6833,39.5333,44.74,77,87,4.34
217,Te Anau,NZ,2021-01-20 01:16:35,-45.4167,167.7167,47.41,86,100,8.21
218,Sitka,US,2021-01-20 01:16:35,57.0531,-135.33,39.2,75,75,9.22
219,Khor,RU,2021-01-20 01:16:36,47.8861,134.9464,-9.62,84,0,6.31
220,Margate,GB,2021-01-20 01:16:36,51.3813,1.3862,48.99,84,100,8.01
221,Deputatskiy,RU,2021-01-20 01:16:36,69.3,139.9,-36.44,85,75,1.03
222,Concordia,AR,2021-01-20 01:16:36,-31.393,-58.0209,78.01,49,0,10.02
223,Nantucket,US,2021-01-20 01:16:37,41.2835,-70.0995,35.6,80,90,10.36
224,Ciudad Bolivar,VE,2021-01-20 01:16:37,8.1222,-63.5497,78.39,70,100,13.38
225,Peniche,PT,2021-01-20 01:16:37,39.3558,-9.3811,55.99,90,100,15.99
226,Melton,AU,2021-01-20 01:16:27,-37.6833,144.5833,73.0,42,0,5.5
227,Walvis Bay,NA,2021-01-20 01:16:38,-22.9575,14.5053,66.0,88,9,6.91
228,Bijar,IR,2021-01-20 01:16:38,35.8668,47.6051,29.03,88,0,11.01
229,Tawang,IN,2021-01-20 01:16:38,27.5833,91.8667,28.06,91,62,2.71
230,Qasigiannguit,GL,2021-01-20 01:16:38,68.8193,-51.1922,30.2,55,100,5.75
231,Usinsk,RU,2021-01-20 01:16:39,65.9939,57.5281,-3.46,92,100,9.31
232,Zhezkazgan,KZ,2021-01-20 01:16:39,47.8043,67.7144,21.2,93,90,8.95
233,Saint-Jean-De-Maurienne,FR,2021-01-20 01:16:39,45.1667,6.5833,33.01,62,71,1.01
234,Port Macquarie,AU,2021-01-20 01:16:39,-31.4333,152.9167,75.0,56,75,8.05
235,Aklavik,CA,2021-01-20 01:16:39,68.2191,-135.0107,3.2,85,90,10.36
236,Paracuru,BR,2021-01-20 01:16:40,-3.41,-39.0306,81.0,77,100,13.0
237,Manitouwadge,CA,2021-01-20 01:16:40,49.1215,-85.8403,-2.2,71,95,3.44
238,Powell,US,2021-01-20 01:16:40,40.1578,-83.0752,35.6,64,90,6.91
239,Matamoros,MX,2021-01-20 01:16:40,25.5333,-103.25,75.2,27,90,5.35
240,Doha,QA,2021-01-20 01:13:30,25.2867,51.5333,64.4,72,0,6.91
241,Apodi,BR,2021-01-20 01:16:41,-5.6642,-37.7989,80.89,64,100,13.67
242,Lagoa,PT,2021-01-20 01:16:41,39.05,-27.9833,59.74,79,100,23.22
243,Gobabis,NA,2021-01-20 01:16:41,-22.45,18.9667,70.25,70,94,7.7
244,San Cristobal,VE,2021-01-20 01:16:42,7.7669,-72.225,80.6,69,40,2.3
245,Kanniyakumari,IN,2021-01-20 01:16:42,8.0833,77.5667,76.01,74,34,12.1
246,Kathu,TH,2021-01-20 01:16:42,7.9178,98.3332,82.0,78,20,8.05
247,Hami,CN,2021-01-20 01:16:42,42.8,93.45,16.2,76,100,2.04
248,San Rafael,AR,2021-01-20 01:14:10,-34.6177,-68.3301,82.26,20,0,10.45
249,Narrabri,AU,2021-01-20 01:16:43,-30.3167,149.7833,84.2,16,0,8.05
250,Wanning,CN,2021-01-20 01:16:43,18.8003,110.3967,65.55,89,91,7.83
251,Miri,MY,2021-01-20 01:13:17,4.4148,114.0089,77.0,94,40,4.61
252,Chabahar,IR,2021-01-20 01:16:43,25.2919,60.643,67.23,80,0,7.56
253,San Patricio,US,2021-01-20 01:16:44,28.017,-97.5169,71.6,78,40,13.8
254,Bairiki,KI,2021-01-20 01:16:44,1.3292,172.9752,78.8,89,75,14.97
255,Puerto Ayacucho,VE,2021-01-20 01:16:44,5.6639,-67.6236,80.29,63,84,9.08
256,Urusha,RU,2021-01-20 01:16:44,54.05,122.9,-21.59,86,100,4.29
257,Los Llanos De Aridane,ES,2021-01-20 01:16:44,28.6585,-17.9182,60.8,72,75,6.91
258,Cayenne,GF,2021-01-20 01:12:09,4.9333,-52.3333,77.0,88,20,5.75
259,Camana,PE,2021-01-20 01:16:45,-16.6228,-72.7111,71.98,76,1,7.2
260,Rocha,UY,2021-01-20 01:16:45,-34.4833,-54.3333,64.96,70,0,4.74
261,Nurota,UZ,2021-01-20 01:16:45,40.5614,65.6886,37.4,75,100,9.22
262,Marzuq,YE,2021-01-20 01:16:46,14.4,46.4667,54.82,45,14,2.04
263,Zonguldak,TR,2021-01-20 01:12:10,41.25,31.8333,21.22,99,100,4.76
264,Faanui,PF,2021-01-20 01:16:46,-16.4833,-151.75,81.55,75,68,14.67
265,Karasjok,NO,2021-01-20 01:16:46,69.4719,25.5112,-5.8,84,4,4.61
266,Kargasok,RU,2021-01-20 01:16:47,59.0556,80.8572,-30.77,84,0,6.2
267,Nioro,GM,2021-01-20 01:16:47,13.35,-15.75,74.34,17,100,8.68
268,Shenjiamen,CN,2021-01-20 01:16:47,29.9576,122.298,52.66,79,53,11.68
269,Yilan,TW,2021-01-20 01:16:48,24.757,121.753,68.0,20,99,1.39
270,Ust-Kulom,RU,2021-01-20 01:16:48,61.6864,53.6902,-7.02,91,98,4.14
271,Chimoio,MZ,2021-01-20 01:16:48,-19.1164,33.4833,71.6,100,75,2.3
272,Oranjemund,NA,2021-01-20 01:16:48,-28.55,16.4333,64.67,77,0,19.28
273,Sistranda,NO,2021-01-20 01:16:48,63.7256,8.834,32.0,74,0,13.8
274,Thunder Bay,CA,2021-01-20 01:15:03,48.4001,-89.3168,-0.4,71,75,5.75
275,Belmonte,BR,2021-01-20 01:16:49,-15.8631,-38.8828,78.8,69,40,5.75
276,Ninghai,CN,2021-01-20 01:13:08,29.2892,121.4247,51.01,81,40,2.24
277,Dekar,BW,2021-01-20 01:16:49,-21.5333,21.9333,70.02,71,74,7.76
278,Lavrentiya,RU,2021-01-20 01:16:49,65.5833,-171.0,-14.49,83,14,3.44
279,Baijiantan,CN,2021-01-20 01:16:50,45.6333,85.1833,6.44,90,99,3.58
280,Airai,TL,2021-01-20 01:16:50,-8.9266,125.4092,70.3,92,82,3.04
281,Melioratorov,RU,2021-01-20 01:16:50,57.2107,65.6077,-2.2,78,0,6.71
282,Mangai,CD,2021-01-20 01:16:50,-4.05,19.5333,70.25,88,91,0.63
283,Salalah,OM,2021-01-20 01:16:50,17.0151,54.0924,68.0,37,0,2.3
284,Kieta,PG,2021-01-20 01:16:50,-6.2167,155.6333,85.24,65,100,4.74
285,San Policarpo,PH,2021-01-20 01:16:51,12.1791,125.5072,82.54,78,100,16.69
286,Clyde River,CA,2021-01-20 01:16:51,70.4692,-68.5914,3.2,92,90,12.66
287,Altea,ES,2021-01-20 01:16:51,38.5989,-0.0514,52.0,75,90,3.0
288,Atar,MR,2021-01-20 01:16:51,20.5169,-13.0499,59.54,27,100,12.28
289,Grand Gaube,MU,2021-01-20 01:16:52,-20.0064,57.6608,79.0,89,1,7.94
290,Kaifeng,CN,2021-01-20 01:16:52,34.7911,114.3483,28.4,69,13,6.71
291,Dhidhdhoo,MV,2021-01-20 01:16:52,6.8833,73.1,81.03,67,4,4.97
292,Kavaratti,IN,2021-01-20 01:16:52,10.5669,72.642,81.48,72,0,5.26
