City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description
113,Vaini,-21.2,-175.2,78.8,94,90,8.05,TO,1/31/2021 22:55,moderate rain
114,Lavrentiya,65.5833,-171,-5.87,86,100,16.35,RU,1/31/2021 22:55,overcast clouds
115,Dawlatabad,36.4141,64.9053,45.46,70,0,2.1,AF,1/31/2021 22:55,clear sky
116,Syktyvkar,61.6764,50.8099,30.2,93,90,15.66,RU,1/31/2021 22:55,light snow
117,Abalak,58.1286,68.5944,4.71,95,40,4.56,RU,1/31/2021 22:55,scattered clouds
118,Castro,-24.7911,-50.0119,65.7,94,99,5.5,BR,1/31/2021 22:55,overcast clouds
119,Airai,-8.9266,125.4092,61.7,100,100,5.08,TL,1/31/2021 22:55,overcast clouds
120,Bambous Virieux,-20.3428,57.7575,80.6,78,40,13.8,MU,1/31/2021 22:55,scattered clouds
121,Varhaug,58.6147,5.6457,30,100,40,3.44,NO,1/31/2021 22:55,scattered clouds
122,Ahipara,-35.1667,173.1667,71.62,51,0,6.11,NZ,1/31/2021 22:55,clear sky
123,Ponta Do Sol,32.6667,-17.1,57,74,0,3,PT,1/31/2021 22:55,clear sky
124,Port Hueneme,34.1478,-119.1951,71.6,67,1,12.66,US,1/31/2021 22:55,clear sky
125,Guhagar,17.4842,73.1929,72.19,52,3,5.44,IN,1/31/2021 22:55,clear sky
126,Stephenville,32.2207,-98.2023,57.2,33,1,16.11,US,1/31/2021 22:55,clear sky
127,Sao Jose Da Coroa Grande,-8.8978,-35.1478,78.35,78,64,7.65,BR,1/31/2021 22:52,broken clouds
128,Puerto Escondido,15.85,-97.0667,84.2,70,1,5.75,MX,1/31/2021 22:55,clear sky
129,Tuatapere,-46.1333,167.6833,69.06,53,6,1.95,NZ,1/31/2021 22:55,clear sky
130,Panzhihua,26.5851,101.7128,39.99,70,0,0.87,CN,1/31/2021 22:55,clear sky
131,Athens,37.9795,23.7162,62.01,88,20,5.75,GR,1/31/2021 22:53,few clouds
132,Rath,25.5833,79.5667,48.43,51,0,0.54,IN,1/31/2021 22:51,clear sky
133,Oranjestad,12.524,-70.027,80.6,78,20,20.71,AW,1/31/2021 22:51,few clouds
134,Kavaratti,10.5669,72.642,81,73,0,10.74,IN,1/31/2021 22:55,clear sky
135,Nguruka,-5.1092,31.0419,65.62,93,100,3.24,TZ,1/31/2021 22:55,overcast clouds
136,Lucea,18.451,-78.1736,78.8,83,75,14.97,JM,1/31/2021 22:55,broken clouds
137,Hasaki,35.7333,140.8333,35.6,60,75,6.91,JP,1/31/2021 22:55,light rain
138,Alofi,-19.0595,-169.9187,82.4,78,75,11.5,NU,1/31/2021 22:55,light rain
139,Jiuquan,39.7432,98.5174,17.82,73,0,1.86,CN,1/31/2021 22:55,clear sky
140,Orange Cove,36.6244,-119.3137,63,42,1,3.44,US,1/31/2021 22:55,clear sky
141,Jining,35.405,116.5814,38.12,61,3,4.94,CN,1/31/2021 22:55,clear sky
142,Paita,-5.0892,-81.1144,76.96,70,65,18.86,PE,1/31/2021 22:55,broken clouds
143,Albion,42.2431,-84.753,28.4,80,90,6.91,US,1/31/2021 22:55,overcast clouds
144,Qaanaaq,77.484,-69.3632,-4.49,88,100,1.36,GL,1/31/2021 22:55,overcast clouds
145,Matay,28.419,30.7792,53.94,49,0,4.7,EG,1/31/2021 22:55,clear sky
146,Pevek,69.7008,170.3133,-27.31,85,75,2.33,RU,1/31/2021 22:55,broken clouds
147,Senador Guiomard,-10.1522,-67.7392,84.2,74,20,6.91,BR,1/31/2021 22:52,few clouds
148,Zhezkazgan,47.8043,67.7144,15.75,92,12,3.85,KZ,1/31/2021 22:55,few clouds
149,Khasan,42.4308,130.6434,19.26,96,79,5.99,RU,1/31/2021 22:55,broken clouds
150,Ulaanbaatar,47.9077,106.8832,-23.8,62,0,5.17,MN,1/31/2021 22:55,clear sky
151,La Ronge,55.1001,-105.2842,19.4,79,76,2.3,CA,1/31/2021 22:55,broken clouds
152,Lebedinyy,58.5167,125.5167,-43.24,79,100,2.33,RU,1/31/2021 22:55,overcast clouds
153,Provideniya,64.3833,-173.3,3.2,85,90,29.08,RU,1/31/2021 22:55,snow
154,Mayumba,-3.432,10.6554,78.91,82,100,3.91,GA,1/31/2021 22:55,overcast clouds
155,Fortuna,40.5982,-124.1573,54,100,75,20.71,US,1/31/2021 22:55,light rain
156,Mahibadhoo,3.7833,72.9667,81.79,77,94,13.87,MV,1/31/2021 22:55,overcast clouds
157,Norman Wells,65.282,-126.8329,-18.4,69,75,6.91,CA,1/31/2021 22:55,broken clouds
158,Pacific Grove,36.6177,-121.9166,57.99,67,1,4.61,US,1/31/2021 22:55,clear sky
159,Columbus,39.9612,-82.9988,35.01,93,90,8.05,US,1/31/2021 22:54,snow
160,Tubuala,9.5167,-79.0333,87.8,55,20,12.66,PA,1/31/2021 22:55,few clouds
161,Sawakin,19.1059,37.3321,73.65,75,94,8.39,SD,1/31/2021 22:55,overcast clouds
162,Kailua,21.4022,-157.7394,80.6,61,75,14.97,US,1/31/2021 22:55,broken clouds
163,Skagen,57.7209,10.5839,30.99,90,84,4,DK,1/31/2021 22:55,light snow
164,Pisco,-13.7,-76.2167,73.4,64,40,19.57,PE,1/31/2021 22:55,scattered clouds
165,Great Bend,38.3645,-98.7648,43,60,1,14.97,US,1/31/2021 22:55,clear sky
166,Tasiilaq,65.6145,-37.6368,14,67,75,3.53,GL,1/31/2021 22:55,broken clouds
167,Jumla,29.2747,82.1838,31.78,68,0,3.2,NP,1/31/2021 22:55,clear sky
168,Quelimane,-17.8786,36.8883,82.4,89,20,5.75,MZ,1/31/2021 22:55,few clouds
169,Pangnirtung,66.1451,-65.7125,-3.19,87,100,2.86,CA,1/31/2021 22:55,light snow
170,Vila Velha,-20.3297,-40.2925,80.6,74,40,14.97,BR,1/31/2021 22:55,scattered clouds
171,Birin,26.8865,88.0718,41.49,79,10,3.6,NP,1/31/2021 22:55,clear sky
172,Arraial Do Cabo,-22.9661,-42.0278,78.8,73,0,17.27,BR,1/31/2021 22:55,clear sky
